max_learning_rate: 0.001
step      0 | time     1.15s | train loss 9.2529 | val loss 9.2521
step    100 | time    13.63s | train loss 3.8639 | val loss 3.8622
step    200 | time    25.84s | train loss 3.0789 | val loss 3.0905
step    300 | time    38.10s | train loss 2.7993 | val loss 2.7777
step    400 | time    50.35s | train loss 2.6028 | val loss 2.6563
step    500 | time    62.65s | train loss 2.4873 | val loss 2.4782
step    600 | time    74.99s | train loss 2.3934 | val loss 2.3819
step    700 | time    87.34s | train loss 2.3498 | val loss 2.2961
step    800 | time    99.68s | train loss 2.2626 | val loss 2.2394
step    900 | time   112.04s | train loss 2.1373 | val loss 2.1700
step   1000 | time   124.43s | train loss 2.1357 | val loss 2.1684
step   1100 | time   136.84s | train loss 2.1073 | val loss 2.1339
step   1200 | time   149.25s | train loss 2.0348 | val loss 2.0280
step   1300 | time   161.72s | train loss 1.9932 | val loss 2.0000
step   1400 | time   186.32s | train loss 2.0121 | val loss 1.9832
step   1500 | time   201.89s | train loss 1.9603 | val loss 1.9612
step   1600 | time   215.67s | train loss 1.9298 | val loss 1.9491
step   1700 | time   230.00s | train loss 1.9509 | val loss 1.9166
step   1800 | time   242.43s | train loss 1.8675 | val loss 1.9229
step   1900 | time   254.81s | train loss 1.8842 | val loss 1.8985
step   2000 | time   267.31s | train loss 1.8845 | val loss 1.8924

max_learning_rate: 0.002
step      0 | time     0.87s | train loss 9.2726 | val loss 9.2704
step    100 | time    13.40s | train loss 3.6024 | val loss 3.5818
step    200 | time    26.03s | train loss 2.9900 | val loss 2.9916
step    300 | time    38.72s | train loss 2.7417 | val loss 2.7683
step    400 | time    51.41s | train loss 2.6008 | val loss 2.5968
step    500 | time    64.19s | train loss 2.5067 | val loss 2.4939
step    600 | time    77.05s | train loss 2.4182 | val loss 2.3721
step    700 | time    89.85s | train loss 2.3796 | val loss 2.3345
step    800 | time   102.65s | train loss 2.2690 | val loss 2.3328
step    900 | time   115.47s | train loss 2.2819 | val loss 2.2074
step   1000 | time   128.30s | train loss 2.1915 | val loss 2.2311
step   1100 | time   141.14s | train loss 2.1494 | val loss 2.1869
step   1200 | time   153.99s | train loss 2.1237 | val loss 2.1006
step   1300 | time   166.87s | train loss 2.0917 | val loss 2.0631
step   1400 | time   179.68s | train loss 2.0219 | val loss 2.0256
step   1500 | time   192.56s | train loss 1.9976 | val loss 2.0380
step   1600 | time   205.47s | train loss 1.9878 | val loss 1.9560
step   1700 | time   233.14s | train loss 1.9537 | val loss 2.0000
step   1800 | time   248.17s | train loss 1.9622 | val loss 1.9084
step   1900 | time   263.24s | train loss 1.9250 | val loss 1.9013
step   2000 | time   275.69s | train loss 1.9185 | val loss 1.9137

max_learning_rate: 0.004
step      0 | time     0.87s | train loss 9.2755 | val loss 9.2754
step    100 | time    13.37s | train loss 3.3665 | val loss 3.4210
step    200 | time    25.98s | train loss 3.0796 | val loss 3.0413
step    300 | time    38.68s | train loss 2.8676 | val loss 2.8653
step    400 | time    51.43s | train loss 2.8208 | val loss 2.8082
step    500 | time    64.22s | train loss 2.7464 | val loss 2.7690
step    600 | time    77.02s | train loss 2.7277 | val loss 2.6973
step    700 | time    89.83s | train loss 2.6579 | val loss 2.6883
step    800 | time   102.72s | train loss 2.6536 | val loss 2.6587
step    900 | time   115.57s | train loss 2.6005 | val loss 2.6126
step   1000 | time   128.41s | train loss 2.5587 | val loss 2.5811
step   1100 | time   141.20s | train loss 2.5407 | val loss 2.5560
step   1200 | time   154.07s | train loss 2.5354 | val loss 2.5097
step   1300 | time   166.97s | train loss 2.4292 | val loss 2.4372
step   1400 | time   179.82s | train loss 2.4165 | val loss 2.4617
step   1500 | time   192.67s | train loss 2.4252 | val loss 2.3802
step   1600 | time   205.52s | train loss 2.3914 | val loss 2.3965
step   1700 | time   218.35s | train loss 2.3707 | val loss 2.3436
step   1800 | time   231.16s | train loss 2.3402 | val loss 2.3510
step   1900 | time   261.90s | train loss 2.3310 | val loss 2.3295
step   2000 | time   277.87s | train loss 2.3078 | val loss 2.3173

max_learning_rate: 0.006
step      0 | time     0.89s | train loss 9.2620 | val loss 9.2638
step    100 | time    14.91s | train loss 3.3336 | val loss 3.3495
step    200 | time    28.99s | train loss 3.5334 | val loss 3.4794
step    300 | time    41.62s | train loss 3.3267 | val loss 3.3034
step    400 | time    54.79s | train loss 3.2692 | val loss 3.2184
step    500 | time    68.33s | train loss 3.1997 | val loss 3.1825
step    600 | time    82.02s | train loss 3.1587 | val loss 3.1331
step    700 | time   112.62s | train loss 3.0657 | val loss 3.0825
step    800 | time   128.59s | train loss 2.9884 | val loss 3.0342
step    900 | time   143.71s | train loss 2.9639 | val loss 3.0227
step   1000 | time   157.41s | train loss 2.9714 | val loss 2.9327
step   1100 | time   171.19s | train loss 2.9013 | val loss 2.9187
step   1200 | time   184.77s | train loss 2.9233 | val loss 2.8699
step   1300 | time   198.44s | train loss 2.8359 | val loss 2.7787
step   1400 | time   212.24s | train loss 2.7954 | val loss 2.7576
step   1500 | time   225.92s | train loss 2.6975 | val loss 2.6967
step   1600 | time   239.71s | train loss 2.6785 | val loss 2.6789
step   1700 | time   253.51s | train loss 2.6530 | val loss 2.6590
step   1800 | time   267.44s | train loss 2.6269 | val loss 2.5942
step   1900 | time   281.25s | train loss 2.5692 | val loss 2.5932
step   2000 | time   295.13s | train loss 2.5798 | val loss 2.5859
