step,wall_time,train_loss,val_loss
5100,40.479001500003505,1.59089035987854,1.5865769863128663
5200,80.99213625001721,1.588685357570648,1.580763614177704
5300,121.67415783301112,1.5890745997428894,1.5778713703155518
5400,162.2670552500058,1.5536179184913634,1.5744121432304383
5500,202.869828416995,1.5831374406814576,1.5693762660026551
5600,243.4637554580113,1.5660704374313354,1.5920069456100463
5700,284.0415422079968,1.5765243768692017,1.582295536994934
5800,324.9310907080071,1.585925543308258,1.5550476789474488
5900,366.2143416249892,1.567920994758606,1.587442362308502
6000,407.656650082994,1.5894033670425416,1.5374329090118408
6100,449.3123262079898,1.5371713161468505,1.5811323165893554
6200,491.08696937499917,1.537513518333435,1.568820071220398
6300,533.1474354579987,1.5576456546783448,1.571562445163727
6400,575.4156816249888,1.5707237720489502,1.5648881554603578
6500,617.8851929999946,1.5435446858406068,1.5305332779884337
6600,660.4451735420153,1.59270498752594,1.56611248254776
6700,703.1441671669891,1.5530860900878907,1.564775288105011
6800,745.9610716669995,1.567243468761444,1.5413842916488647
6900,788.7869519169908,1.557522213459015,1.5741917490959167
7000,832.413359875005,1.5506604790687561,1.5275503039360045
7100,875.8914525829896,1.5651903867721557,1.5496080279350282
7200,919.473691332998,1.5462901830673217,1.5159172296524048
7300,962.8957396250044,1.5665874123573302,1.567697286605835
7400,1005.997848583007,1.539929163455963,1.5485514760017396
7500,1049.215776833007,1.5402294635772704,1.5330617547035217
7600,1092.483362333005,1.52427077293396,1.5440969586372375
7700,1136.2431008330022,1.5453184247016907,1.5548753499984742
7800,1179.8348585420172,1.5605442523956299,1.5306459665298462
7900,1223.8586492920003,1.523378026485443,1.5718786358833312
8000,1267.7121215419902,1.5289591908454896,1.5435447454452516
8100,1311.3054635000008,1.5486724734306336,1.533975899219513
8200,1355.1258906669973,1.5373043656349181,1.5433770656585692
8300,1398.6274465000024,1.5346435546875,1.5171093225479126
8400,1442.487251582992,1.576824414730072,1.5493083596229553
8500,1486.7783489580033,1.5500458359718323,1.5528436183929444
8600,1530.4780650419998,1.5422045230865478,1.5290059924125672
8700,1574.1607825419924,1.5212655544281006,1.5348413944244386
8800,1617.9795119999908,1.516148281097412,1.5191933274269105
8900,1661.2678986249957,1.5322136640548707,1.5331373691558838
9000,1705.3748633750074,1.5381780982017517,1.5691970229148864
